company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
HCLTECH,2015,+,-,-,Reinvestor
HCLTECH,2016,+,-,-,Reinvestor
HCLTECH,2017,+,-,-,Shareholder Returns
HCLTECH,2018,+,-,-,Reinvestor
HCLTECH,2019,+,-,-,Reinvestor
HCLTECH,2020,+,-,-,Shareholder Returns
HCLTECH,2021,+,-,-,Shareholder Returns
HCLTECH,2022,+,+,-,Liquidating Assets
HCLTECH,2023,+,-,-,Shareholder Returns
HCLTECH,2024,+,-,-,Shareholder Returns
HDFCBANK,2013,-,-,+,Growth Funded by Debt
HDFCBANK,2014,+,-,+,Mixed
HDFCBANK,2015,-,-,+,Growth Funded by Debt
HDFCBANK,2016,-,-,+,Growth Funded by Debt
HDFCBANK,2017,+,-,-,Shareholder Returns
HDFCBANK,2018,+,-,+,Mixed
HDFCBANK,2019,-,-,+,Growth Funded by Debt
HDFCBANK,2020,-,-,+,Growth Funded by Debt
HDFCBANK,2021,+,-,-,Shareholder Returns
HDFCBANK,2022,-,-,+,Growth Funded by Debt
HDFCBANK,2023,+,-,+,Mixed
HDFCBANK,2024,+,+,-,Liquidating Assets
HDFCLIFE,2013,-,-,-,Pre-Revenue
HDFCLIFE,2014,-,-,-,Pre-Revenue
HDFCLIFE,2015,+,-,-,Shareholder Returns
HDFCLIFE,2016,+,-,-,Shareholder Returns
HDFCLIFE,2017,+,-,-,Shareholder Returns
HDFCLIFE,2018,+,-,-,Shareholder Returns
HDFCLIFE,2019,+,-,-,Shareholder Returns
HDFCLIFE,2020,+,-,+,Mixed
HDFCLIFE,2021,+,-,+,Mixed
HDFCLIFE,2022,+,-,-,Shareholder Returns
HDFCLIFE,2023,+,-,+,Mixed
HDFCLIFE,2024,+,-,-,Shareholder Returns
HEROMOTOCO,2014,+,-,-,Shareholder Returns
HEROMOTOCO,2015,+,+,-,Liquidating Assets
HEROMOTOCO,2016,+,-,-,Shareholder Returns
HEROMOTOCO,2017,+,-,-,Shareholder Returns
HEROMOTOCO,2018,+,-,-,Shareholder Returns
HEROMOTOCO,2019,+,+,-,Liquidating Assets
HEROMOTOCO,2020,+,-,-,Shareholder Returns
HEROMOTOCO,2021,+,-,-,Shareholder Returns
HEROMOTOCO,2022,+,-,-,Reinvestor
HEROMOTOCO,2023,+,-,-,Reinvestor
HEROMOTOCO,2024,+,-,-,Shareholder Returns
HINDALCO,2013,+,-,+,Mixed
HINDALCO,2014,+,-,+,Mixed
HINDALCO,2015,+,-,-,Shareholder Returns
HINDALCO,2016,+,-,-,Reinvestor
HINDALCO,2017,+,-,-,Shareholder Returns
HINDALCO,2018,+,+,-,Liquidating Assets
HINDALCO,2019,+,-,-,Shareholder Returns
HINDALCO,2020,+,-,+,Mixed
HINDALCO,2021,+,-,-,Shareholder Returns
HINDALCO,2022,+,-,-,Shareholder Returns
HINDALCO,2023,+,-,-,Shareholder Returns
HINDALCO,2024,+,-,-,Shareholder Returns
HINDUNILVR,2013,+,+,-,Liquidating Assets
HINDUNILVR,2014,+,-,-,Reinvestor
HINDUNILVR,2015,+,+,-,Liquidating Assets
HINDUNILVR,2016,+,-,-,Shareholder Returns
HINDUNILVR,2017,+,-,-,Shareholder Returns
HINDUNILVR,2018,+,-,-,Shareholder Returns
HINDUNILVR,2019,+,-,-,Reinvestor
HINDUNILVR,2020,+,+,-,Liquidating Assets
HINDUNILVR,2021,+,-,-,Shareholder Returns
HINDUNILVR,2022,+,-,-,Shareholder Returns
HINDUNILVR,2023,+,-,-,Reinvestor
HINDUNILVR,2024,+,-,-,Shareholder Returns
ICICIBANK,2013,+,-,+,Mixed
ICICIBANK,2014,+,-,+,Mixed
ICICIBANK,2015,-,-,+,Growth Funded by Debt
ICICIBANK,2016,+,-,+,Mixed
ICICIBANK,2017,+,-,-,Shareholder Returns
ICICIBANK,2018,+,-,+,Mixed
ICICIBANK,2019,+,-,-,Shareholder Returns
ICICIBANK,2020,+,-,+,Mixed
ICICIBANK,2021,+,-,-,Shareholder Returns
ICICIBANK,2022,+,-,+,Mixed
ICICIBANK,2023,-,-,+,Growth Funded by Debt
ICICIBANK,2024,+,-,+,Mixed
ICICIGI,2013,+,-,+,Mixed
ICICIGI,2014,+,-,+,Mixed
ICICIGI,2015,-,+,-,Mixed
ICICIGI,2016,+,-,-,Shareholder Returns
ICICIGI,2017,+,-,+,Mixed
ICICIGI,2018,+,-,-,Shareholder Returns
ICICIGI,2019,+,-,-,Shareholder Returns
ICICIGI,2020,+,-,-,Shareholder Returns
ICICIGI,2021,+,-,-,Shareholder Returns
ICICIGI,2022,+,+,-,Liquidating Assets
ICICIGI,2023,+,-,-,Shareholder Returns
ICICIGI,2024,+,-,-,Shareholder Returns
ICICIPRULI,2013,-,+,-,Mixed
ICICIPRULI,2014,-,+,-,Mixed
ICICIPRULI,2015,+,-,-,Reinvestor
ICICIPRULI,2016,+,+,-,Liquidating Assets
ICICIPRULI,2017,+,-,-,Shareholder Returns
ICICIPRULI,2018,+,-,-,Shareholder Returns
ICICIPRULI,2019,+,-,-,Shareholder Returns
ICICIPRULI,2020,+,-,-,Shareholder Returns
ICICIPRULI,2021,+,-,+,Mixed
ICICIPRULI,2022,+,-,-,Shareholder Returns
ICICIPRULI,2023,+,-,-,Reinvestor
ICICIPRULI,2024,-,+,-,Mixed
INDIGO,2013,+,-,+,Mixed
INDIGO,2014,+,-,+,Mixed
INDIGO,2015,+,-,-,Shareholder Returns
INDIGO,2016,+,-,-,Shareholder Returns
INDIGO,2017,+,-,-,Shareholder Returns
INDIGO,2018,+,-,+,Mixed
INDIGO,2019,+,-,-,Shareholder Returns
INDIGO,2020,+,-,-,Reinvestor
INDIGO,2021,-,+,-,Mixed
INDIGO,2022,+,+,-,Liquidating Assets
INDIGO,2023,+,-,-,Reinvestor
INDIGO,2024,+,-,-,Shareholder Returns
INDUSINDBK,2013,-,-,+,Growth Funded by Debt
INDUSINDBK,2014,-,-,+,Growth Funded by Debt
INDUSINDBK,2015,-,-,+,Growth Funded by Debt
INDUSINDBK,2016,-,-,+,Growth Funded by Debt
INDUSINDBK,2017,+,-,-,Shareholder Returns
INDUSINDBK,2018,-,-,+,Growth Funded by Debt
INDUSINDBK,2019,-,-,+,Growth Funded by Debt
INDUSINDBK,2020,-,+,+,Distress Signal
INDUSINDBK,2021,+,-,-,Shareholder Returns
INDUSINDBK,2022,+,-,-,Shareholder Returns
INDUSINDBK,2023,-,-,+,Growth Funded by Debt
INDUSINDBK,2024,-,-,-,Pre-Revenue
INFY,2013,+,-,-,Reinvestor
INFY,2014,+,-,-,Reinvestor
INFY,2015,+,+,-,Liquidating Assets
INFY,2016,+,-,-,Reinvestor
INFY,2017,+,-,-,Reinvestor
INFY,2018,+,+,-,Liquidating Assets
