company_id,year,previous_pattern,current_pattern
INFY,2015,Reinvestor,Liquidating Assets
INFY,2016,Liquidating Assets,Reinvestor
INFY,2018,Reinvestor,Liquidating Assets
INFY,2019,Liquidating Assets,Reinvestor
INFY,2020,Reinvestor,Shareholder Returns
INFY,2023,Shareholder Returns,Reinvestor
IOC,2014,Mixed,Shareholder Returns
IOC,2019,Shareholder Returns,Mixed
IOC,2021,Mixed,Shareholder Returns
IRCTC,2016,Reinvestor,Liquidating Assets
IRCTC,2019,Liquidating Assets,Shareholder Returns
IRCTC,2020,Shareholder Returns,Liquidating Assets
IRCTC,2021,Liquidating Assets,Shareholder Returns
IRCTC,2022,Shareholder Returns,Reinvestor
IRFC,2016,Pre-Revenue,Distress Signal
IRFC,2021,Distress Signal,Growth Funded by Debt
IRFC,2024,Growth Funded by Debt,Shareholder Returns
ITC,2015,Reinvestor,Shareholder Returns
ITC,2019,Shareholder Returns,Reinvestor
ITC,2021,Reinvestor,Liquidating Assets
ITC,2022,Liquidating Assets,Shareholder Returns
ITC,2023,Shareholder Returns,Reinvestor
ITC,2024,Reinvestor,Liquidating Assets
JINDALSTEL,2016,Mixed,Reinvestor
JINDALSTEL,2021,Reinvestor,Shareholder Returns
JINDALSTEL,2024,Shareholder Returns,Mixed
JIOFIN,2024,Shareholder Returns,Mixed
JSWENERGY,2020,Shareholder Returns,Liquidating Assets
JSWENERGY,2021,Liquidating Assets,Shareholder Returns
JSWENERGY,2023,Shareholder Returns,Mixed
JSWSTEEL,2014,Shareholder Returns,Mixed
JSWSTEEL,2015,Mixed,Shareholder Returns
JSWSTEEL,2016,Shareholder Returns,Reinvestor
JSWSTEEL,2017,Reinvestor,Shareholder Returns
JSWSTEEL,2019,Shareholder Returns,Mixed
JSWSTEEL,2021,Mixed,Shareholder Returns
KOTAKBANK,2014,Mixed,Shareholder Returns
KOTAKBANK,2015,Shareholder Returns,Mixed
KOTAKBANK,2018,Mixed,Growth Funded by Debt
KOTAKBANK,2019,Growth Funded by Debt,Mixed
KOTAKBANK,2020,Mixed,Shareholder Returns
KOTAKBANK,2021,Shareholder Returns,Reinvestor
KOTAKBANK,2022,Reinvestor,Mixed
KOTAKBANK,2023,Mixed,Growth Funded by Debt
KOTAKBANK,2024,Growth Funded by Debt,Mixed
LICI,2020,Liquidating Assets,Shareholder Returns
LICI,2021,Shareholder Returns,Liquidating Assets
